index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
601,Asics,Gel-Sonoma 6,Trail,Women,US 6.5,Grey,Mesh,$75.00 ,75,$99.99,Turin
602,Fila,Ray Tracer Evo,Fashion,Men,US 12,Black,Synthetic,$65.00 ,27,$239.99,Genoa
603,Skechers,Max Cushioning,Running,Women,US 8,Navy,Mesh,$85.00 ,88,$239.99,Genoa
604,Nike,React Infinity Run Flyknit,Running,Men,US 11,Blue,Flyknit,$160.00 ,36,$289.99,Catania
605,Nike,Air Force 1 Low,Casual,Men,US 12,White,Leather,$90.00 ,16,$289.99,Florence
606,Adidas,Yeezy Boost 350,Fashion,Women,US 8,Cream White,Primeknit,$220.00 ,30,$249.99,Catania
607,Reebok,Nano 9,Training,Men,US 11,Black/Gum,Flexweave/Cushioning,$130.00 ,76,$139.99,Genoa
608,Converse,Jack Purcell,Casual,Women,US 7.5,Egret/Black,Canvas,$65.00 ,31,$159.99,Catania
609,Puma,Calibrate Runner,Running,Men,US 10.5,Grey,Mesh,$100.00 ,75,$139.99,Catania
610,Vans,Sk8-Hi,Skate,Women,US 9.5,Black/White,Canvas/Suede,$70.00 ,64,$119.99,Milan
611,New Balance,997H,Casual,Men,US 9.5,Black/Grey,Suede/Mesh,$89.99 ,48,$149.99,Florence
612,Asics,Gel-Cumulus 22,Running,Women,US 8,Pink,Mesh,$120.00 ,7,$239.99,Palermo
613,Fila,Mindblower,Fashion,Men,US 8.5,White/Navy/Red,Synthetic/Leather,$75.00 ,88,$159.99,Bologna
614,Skechers,Go Walk 5,Walking,Women,US 7,Black,Mesh,$60.00 ,8,$169.99,Palermo
615,Nike,Blazer Low,Casual,Men,US 10,Black,Leather,$85.00 ,73,$199.99,Bologna
616,Adidas,Ultraboost 6.0,Running,Women,US 7,Grey,Primeknit,$180.00 ,53,$199.99,Bologna
617,Reebok,Aztrek 96,Casual,Men,US 12,White/Black,Synthetic,$90.00 ,2,$299.99,Bologna
618,Converse,Pro Leather,Basketball,Women,US 8.5,White,Leather,$75.00 ,61,$149.99,Catania
619,Puma,Suede Classic,Casual,Men,US 9.5,Black/White,Suede,$65.00 ,48,$279.99,Turin
620,Vans,Era,Skate,Women,US 8,True White,Canvas,$50.00 ,81,$179.99,Bari
621,New Balance,1500v6,Racing,Men,US 8,Orange,Mesh,$110.00 ,55,$199.99,Bari
622,Asics,Gel-Kayano 27,Running,Women,US 7,Grey,Mesh,$160.00 ,91,$229.99,Palermo
623,Fila,Original Fitness,Casual,Men,US 10.5,Black,Leather,$60.00 ,7,$199.99,Palermo
624,Skechers,Go Run Mojo,Running,Women,US 9.5,Grey/Pink,Mesh,$60.00 ,56,$189.99,Bari
625,Nike,Air Force 1,Casual,Men,US 10.5,White,Leather,$90.00 ,61,$109.99,Rome
626,Adidas,NMD_R1,Lifestyle,Women,US 8.5,Grey/Pink,Primeknit,$140.00 ,24,$279.99,Catania
627,Reebok,Nano X1 Adventure,Training,Men,US 11,Black,Knit,$130.00 ,33,$249.99,Florence
628,Converse,Chuck 70,Casual,Women,US 7,Pink,Canvas,$85.00 ,21,$209.99,Bari
629,Puma,Cali Sport,Fashion,Women,US 6.5,White/Black,Leather,$80.00 ,66,$239.99,Bari
630,Vans,Sk8-Hi,Skate,Men,US 9.5,Blue/White,Suede/Canvas,$70.00 ,53,$149.99,Bari
631,New Balance,Fresh Foam More v3,Running,Women,US 7.5,Pink/White,Mesh,$165.00 ,77,$289.99,Catania
632,Asics,Gel-Cumulus 23,Running,Men,US 9.5,Black,Mesh,$120.00 ,54,$159.99,Naples
633,Fila,Trail Blazer,Hiking,Women,US 9.5,Green,Suede/Leather,$70.00 ,37,$99.99,Catania
634,Skechers,Go Run Mojo Pep,Running,Men,US 8.5,Black,Mesh,$70.00 ,31,$99.99,Bari
635,Nike,Air Zoom Pegasus 38,Running,Women,US 6.5,Blue/Pink,Mesh,$120.00 ,100,$269.99,Palermo
636,Adidas,Superstar,Casual,Men,US 11,White/Black,Leather,$80.00 ,75,$199.99,Turin
637,Reebok,Classic Nylon,Casual,Women,US 8.5,Purple,Nylon,$65.00 ,78,$199.99,Rome
638,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$70.00 ,85,$149.99,Palermo
639,Puma,Suede Classic+,Casual,Women,US 7,Black,Suede,$65.00 ,96,$169.99,Bari
640,Vans,Era,Skate,Men,US 10.5,Black/White,Canvas,$55.00 ,68,$269.99,Palermo
641,New Balance,574,Casual,Women,US 9,Grey/White,Suede/Mesh,$80.00 ,87,$139.99,Turin
642,Asics,Gel-Contend 7,Running,Men,US 10,Blue,Mesh,$70.00 ,39,$249.99,Bologna
643,Fila,Trigate,Running,Women,US 7,Black/Pink,Synthetic/Mesh,$70.00 ,30,$179.99,Rome
644,Skechers,Flex Appeal 4.0,Training,Men,US 8.5,Grey/Orange,Knit,$70.00 ,32,$169.99,Catania
645,Nike,Air Force 1 Low,Casual,Men,US 9.5,White,Leather,$90.00 ,27,$269.99,Milan
646,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 11,Cream White,Primeknit,$220.00 ,51,$259.99,Milan
647,Reebok,Aztrek,Retro,Women,US 7.5,Black/Gold/Red,Suede/Mesh,$90.00 ,74,$189.99,Milan
648,Converse,Jack Purcell,Casual,Men,US 8,Navy,Canvas,$65.00 ,14,$119.99,Florence
649,Puma,Calibrate Runner,Running,Women,US 8,Grey/White,Mesh,$80.00 ,87,$199.99,Bologna
650,Vans,Era,Skate,Men,US 10,Black/White,Canvas,$55.00 ,12,$199.99,Milan
651,New Balance,327,Retro,Men,US 12,Grey/Orange,Suede/Mesh,$100.00 ,93,$189.99,Catania
652,Asics,Gel-Kayano 27,Running,Women,US 9.5,Blue/Pink,Mesh,$160.00 ,64,$229.99,Bologna
653,Fila,D-Formation,Fashion,Men,US 9,Black,Leather/Synthetic,$65.00 ,61,$219.99,Catania
654,Skechers,Go Run Ride 8,Running,Women,US 7.5,Black/Pink,Mesh,$90.00 ,29,$159.99,Rome
655,Nike,React Infinity Run,Running,Men,US 11,Black,Mesh/Synthetic,$160.00 ,87,$259.99,Milan
656,Adidas,NMD_R1,Lifestyle,Women,US 8,Black/Grey,Primeknit,$130.00 ,96,$259.99,Palermo
657,Reebok,Club MEMT,Casual,Men,US 9.5,White/Grey,Leather,$65.00 ,20,$149.99,Catania
658,Converse,Chuck 70,Skate,Women,US 6.5,White,Canvas,$85.00 ,64,$109.99,Rome
659,Puma,Clyde,Retro,Men,US 8,Red,Suede,$80.00 ,100,$279.99,Turin
660,Vans,Sk8-Hi,Skate,Women,US 7.5,Pink/White,Canvas,$65.00 ,40,$109.99,Genoa
661,New Balance,1080v10,Running,Men,US 10.5,Grey,Mesh,$150.00 ,1,$209.99,Milan
662,Asics,Gel-Quantum 180,Running,Women,US 7.5,Black/White,Mesh,$140.00 ,40,$249.99,Florence
663,Fila,Original Fitness,Casual,Men,US 10,White/Navy/Red,Leather,$60.00 ,21,$259.99,Catania
664,Skechers,Summits,Walking,Women,US 9,Black/Grey,Mesh,$60.00 ,31,$279.99,Turin
665,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,19,$149.99,Florence
666,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 9,Natural,Primeknit,$220.00 ,24,$259.99,Bari
667,Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Synthetic,$150.00 ,79,$169.99,Rome
668,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$75.00 ,28,$179.99,Catania
669,Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$100.00 ,37,$289.99,Genoa
670,Vans,Slip-On,Skate,Women,US 8.5,Checkered,Canvas,$50.00 ,19,$219.99,Florence
671,New Balance,327,Casual,Men,US 9,Navy/Red,Suede/Nylon,$100.00 ,61,$229.99,Turin
672,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Pink,Mesh,$150.00 ,21,$269.99,Palermo
673,Fila,Mindblower,Fashion,Men,US 11,White/Navy,Synthetic,$75.00 ,15,$199.99,Milan
674,Skechers,Go Run Mojo,Running,Women,US 7.5,Black/Pink,Mesh,$65.00 ,51,$219.99,Catania
675,Nike,Zoom Fly 3,Running,Men,US 10,Black,Mesh,$160.00 ,1,$269.99,Rome
676,Adidas,Ultra Boost DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 ,73,$259.99,Naples
677,Reebok,Nano 9,Crossfit,Men,US 9.5,Grey/Black,Mesh,$130.00 ,11,$249.99,Florence
678,Converse,Pro Leather,Skate,Women,US 6,White,Leather,$75.00 ,94,$299.99,Genoa
679,Puma,Clyde All-Pro,Basketball,Men,US 11.5,White/Black,Leather,$130.00 ,60,$159.99,Catania
680,Vans,Sk8-Hi,Skate,Men,US 8.5,Black/White,Suede/Canvas,$70.00 ,18,$159.99,Florence
681,New Balance,574,Casual,Women,US 7.5,Burgundy,Suede/Leather,$80.00 ,72,$279.99,Naples
682,Asics,Gel-Cumulus 23,Running,Men,US 11.5,Black/Red,Mesh,$120.00 ,63,$219.99,Turin
683,Fila,Original Fitness,Casual,Women,US 8.5,White/Navy,Leather,$65.00 ,30,$149.99,Naples
684,Skechers,Go Walk 5,Walking,Men,US 9,Charcoal,Mesh,$65.00 ,43,$129.99,Bari
685,Nike,Air Force 1,Casual,Men,US 8.5,White,Leather,$90.00 ,36,$149.99,Milan
686,Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Grey,Primeknit,$220.00 ,29,$289.99,Bologna
687,Reebok,Nano 9,Crossfit,Women,US 7,Black,Mesh,$130.00 ,5,$249.99,Naples
688,Converse,All Star,Casual,Men,US 9,Red,Canvas,$55.00 ,58,$259.99,Bari
689,Puma,Clyde Court,Basketball,Men,US 11,Black,Mesh,$120.00 ,100,$259.99,Palermo
690,Vans,Sk8-Hi,Skate,Women,US 7.5,Red,Suede,$65.00 ,57,$79.99,Bologna
691,New Balance,327,Lifestyle,Men,US 9,Green,Suede/Mesh,$90.00 ,21,$159.99,Palermo
692,Asics,Gel-Kinsei OG,Running,Women,US 8.5,White,Mesh,$180.00 ,19,$279.99,Palermo
693,Fila,Mindblower,Fashion,Men,US 10,Blue,Synthetic,$75.00 ,37,$129.99,Bari
694,Skechers,Go Walk 5,Walking,Women,US 8,Grey,Mesh,$60.00 ,49,$279.99,Genoa
695,Nike,Zoom Pegasus 38,Running,Men,US 10,Black,Mesh,$120.00 ,30,$149.99,Bari
696,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Black/Pink,Primeknit,$140.00 ,24,$169.99,Genoa
697,Reebok,Aztrek 96,Casual,Men,US 11,Grey,Synthetic,$90.00 ,96,$219.99,Florence
698,Converse,Pro Leather,Basketball,Women,US 8.5,White,Leather,$85.00 ,13,$269.99,Catania
699,Puma,RS-X,Lifestyle,Men,US 9,Black,Leather,$110.00 ,37,$259.99,Rome
700,Vans,Era,Skate,Women,US 6.5,Black,Canvas,$50.00 ,68,$169.99,Bologna
701,New Balance,FuelCell Rebel v2,Running,Women,US 9.5,Blue,Mesh,$130.00 ,37,$209.99,Bari
702,Asics,Gel-Quantum 360 6,Running,Men,US 9,Black/Grey,Mesh,$180.00 ,57,$189.99,Milan
703,Fila,V94M Low,Fashion,Women,US 7,White/Pink,Leather,$75.00 ,74,$179.99,Naples
704,Skechers,Stamina,Training,Men,US 9,Black,Leather,$65.00 ,41,$119.99,Palermo
705,Nike,SB Dunk Low,Skate,Men,US 9.5,Orange,Leather,$100.00 ,83,$219.99,Naples
706,Nike,Air Force 1,Casual,Men,US 11,White/Black,Leather,$90.00 ,70,$269.99,Turin
707,Adidas,Yeezy Boost 350 V2,Fashion,Women,US 8.5,Cinder,Primeknit,$220.00 ,82,$249.99,Genoa
708,Reebok,Zig Kinetica II,Running,Men,US 9.5,Black/White,Mesh/Synthetic,$120.00 ,50,$189.99,Bari
709,Converse,Jack Purcell,Casual,Women,US 7.5,Black/White,Canvas,$65.00 ,11,$129.99,Milan
710,Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,$100.00 ,44,$249.99,Naples
711,Vans,Sk8-Hi,Skate,Women,US 6.5,Blue/White,Suede/Canvas,$70.00 ,79,$89.99,Naples
712,New Balance,574 Classic,Casual,Men,US 9.5,Black/Yellow,Suede/Mesh,$80.00 ,21,$279.99,Florence
713,Asics,Gel-Kayano Lite,Running,Women,US 8.5,Purple,Mesh/Synthetic,$120.00 ,15,$169.99,Florence
714,Fila,Trailblazer,Fashion,Men,US 10.5,Black/Gold,Leather/Suede,$75.00 ,4,$189.99,Rome
715,Skechers,Uno Bold,Lifestyle,Women,US 7.5,Pink/White,Synthetic,$70.00 ,46,$299.99,Catania
716,Nike,Air Max 2090,Running,Men,US 11.5,Black/White,Mesh/Synthetic,$150.00 ,97,$249.99,Catania
717,Adidas,Ultra Boost DNA,Running,Women,US 8,Grey/White,Primeknit,$180.00 ,96,$229.99,Genoa
718,Reebok,Classic Leather,Casual,Men,US 12,Navy/White,Leather,$75.00 ,61,$239.99,Bari
719,Converse,Chuck 70,Casual,Women,US 9,Red,Canvas,$85.00 ,18,$189.99,Turin
720,Puma,Suede Classic,Casual,Men,US 9.5,Red/White,Suede,$65.00 ,60,$279.99,Bologna
721,Vans,Era,Skate,Women,US 7,Black/White,Canvas,$55.00 ,44,$249.99,Florence
722,New Balance,FuelCell Rebel v2,Running,Men,US 10.5,Blue/Yellow,Mesh,$100.00 ,55,$119.99,Palermo
723,Asics,Gel-Quantum 360 6,Running,Women,US 7.5,White/Grey,Mesh/Synthetic,$180.00 ,50,$249.99,Florence
724,Fila,Strada,Fashion,Men,US 11,White/Red/Blue,Synthetic,$70.00 ,52,$149.99,Genoa
725,Nike,Air Force 1,Casual,Men,US 12,White,Leather,$90.00 ,13,$299.99,Florence
726,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$140.00 ,29,$259.99,Milan
727,Reebok,Nano X1,Training,Men,US 11,Black,Flexweave,$130.00 ,22,$189.99,Florence
728,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 ,2,$109.99,Turin
729,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,$130.00 ,52,$199.99,Genoa
730,Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$65.00 ,40,$189.99,Turin
731,New Balance,327,Lifestyle,Men,US 9.5,Grey,Suede/Mesh,$90.00 ,18,$279.99,Catania
732,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black/Pink,Mesh/Synthetic,$160.00 ,49,$299.99,Bologna
733,Fila,Mindblower,Fashion,Men,US 10,White/Black,Leather/Synthetic,$75.00 ,87,$189.99,Palermo
734,Skechers,Max Cushioning Elite,Running,Women,US 7,Grey/Pink,Mesh,$90.00 ,84,$169.99,Naples
735,Nike,ZoomX Invincible,Running,Men,US 10.5,Blue,Mesh,$180.00 ,7,$279.99,Milan
736,Adidas,Harden Vol. 5,Basketball,Women,US 8.5,Purple,Synthetic,$130.00 ,75,$179.99,Rome
737,Reebok,Classic Nylon,Casual,Men,US 12,Navy,Nylon,$60.00 ,71,$249.99,Bari
738,Converse,Chuck 70,Casual,Women,US 7,Ivory,Canvas,$85.00 ,70,$159.99,Naples
739,Puma,Suede Classic+,Casual,Men,US 8.5,Black/White,Suede,$65.00 ,99,$259.99,Florence
740,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 ,42,$249.99,Naples
741,New Balance,FuelCell Prism,Running,Women,US 9.5,Black,Mesh,$90.00 ,76,$239.99,Bari
742,Asics,Gel-Excite 8,Running,Men,US 9,Grey/Black,Mesh,$75.00 ,60,$229.99,Genoa
743,Fila,Spaghetti,Fashion,Women,US 7,White,Leather/Synthetic,$70.00 ,78,$99.99,Bologna
744,Skechers,D'Lites Fresh Start,Walking,Men,US 10.5,Black,Leather,$60.00 ,31,$119.99,Bari
745,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,8,$229.99,Bologna
746,Adidas,NMD_R1,Lifestyle,Women,US 8,Black,Primeknit,$140.00 ,77,$249.99,Florence
747,Reebok,Nano 9,Training,Men,US 10.5,Red,Mesh,$130.00 ,100,$259.99,Bari
748,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,49,$119.99,Naples
749,Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,$90.00 ,22,$289.99,Genoa
750,Vans,Sk8-Hi,Skate,Women,US 9,Purple,Suede/Canvas,$65.00 ,43,$219.99,Bari
751,New Balance,Fresh Foam More v3,Running,Women,US 9,Grey,Mesh,$160.00 ,5,$209.99,Genoa
752,Asics,Gel-Kahana 8,Running,Men,US 9.5,Blue,Mesh,$85.00 ,28,$179.99,Palermo
753,Fila,Tracer,Fashion,Women,US 7.5,White,Synthetic,$65.00 ,9,$119.99,Genoa
754,Skechers,Summits,Walking,Men,US 12,Black,Mesh,$65.00 ,23,$169.99,Turin
755,Nike,Epic React Flyknit,Running,Women,US 7.5,Grey,Flyknit,$150.00 ,45,$179.99,Turin
756,Adidas,Ultraboost 4.0,Running,Men,US 11,Black,Primeknit,$180.00 ,41,$259.99,Catania
757,Reebok,Legacy Lifter,Weightlifting,Men,US 9,White/Black,Synthetic,$200.00 ,44,$219.99,Naples
758,Converse,All Star Pro BB,Basketball,Women,US 7,Green,Leather,$100.00 ,91,$159.99,Turin
759,Puma,Cell Venom,Lifestyle,Men,US 10,Grey,Leather,$90.00 ,41,$209.99,Palermo
760,Vans,Slip-On,Casual,Women,US 6.5,Checkerboard,Canvas,$50.00 ,95,$109.99,Catania
761,New Balance,574,Casual,Men,US 12,Burgundy,Suede/Mesh,$80.00 ,7,$179.99,Naples
762,Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Pink,Mesh,$150.00 ,69,$219.99,Catania
763,Nike,Air Max 95,Running,Men,US 9,Grey,Leather/Synthetic,$170.00 ,12,$299.99,Bari
764,Adidas,NMD_R1,Lifestyle,Women,US 7.5,Pink,Primeknit,$140.00 ,97,$209.99,Milan
765,Reebok,Nano X1,Training,Men,US 11,Black,Mesh,$130.00 ,80,$269.99,Palermo
766,Converse,Jack Purcell,Casual,Men,US 8,White,Canvas,$65.00 ,89,$279.99,Rome
767,Puma,Calibrate Rest,Running,Women,US 8.5,Black,Mesh,$100.00 ,31,$249.99,Milan
768,Vans,SK8-Hi,Skate,Men,US 9.5,Red,Suede/Canvas,$70.00 ,89,$239.99,Florence
769,New Balance,327,Lifestyle,Women,US 6.5,Grey,Suede/Mesh,$100.00 ,50,$129.99,Milan
770,Asics,Gel-Quantum 360 6,Running,Men,US 10.5,Black,Mesh,$180.00 ,97,$239.99,Rome
771,Fila,Original Fitness,Casual,Women,US 9,White,Leather,$70.00 ,47,$269.99,Rome
772,Skechers,Max Cushioning,Running,Men,US 10,Blue,Mesh,$90.00 ,60,$189.99,Milan
773,Nike,React Infinity Run Flyknit,Running,Women,US 8,Blue,Flyknit,$160.00 ,98,$269.99,Genoa
774,Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 9,Cream White,Primeknit,$220.00 ,87,$279.99,Bologna
775,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 ,4,$279.99,Naples
776,Converse,Chuck 70,Casual,Men,US 9,Black,Canvas,$85.00 ,11,$239.99,Turin
777,Puma,Clyde All-Pro,Basketball,Women,US 7.5,White,Leather,$130.00 ,42,$269.99,Bologna
778,Vans,Era,Skate,Men,US 10,Black/White,Canvas,$55.00 ,56,$149.99,Bari
779,New Balance,574,Lifestyle,Women,US 8,Grey,Suede/Textile,$80.00 ,89,$299.99,Bologna
780,Asics,Gel-Excite 8,Running,Men,US 9.5,Blue,Mesh,$70.00 ,98,$109.99,Genoa
781,Fila,F-13,Fashion,Men,US 11,Black,Leather,$65.00 ,18,$259.99,Catania
782,Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 ,88,$99.99,Turin
783,Nike,Air Force 1,Casual,Men,US 8.5,White,Leather,$90.00 ,11,$189.99,Rome
784,Nike,Air Force 1,Casual,Men,US 9,White,Leather,$90.00 ,64,$279.99,Bologna
785,Adidas,NMD_R1,Casual,Women,US 7,Black,Primeknit,$130.00 ,36,$289.99,Florence
786,Reebok,Zig Kinetica II,Running,Men,US 10,White,Mesh,$120.00 ,12,$269.99,Rome
787,Converse,Jack Purcell,Casual,Women,US 8.5,Navy,Canvas,$75.00 ,3,$149.99,Bologna
788,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$90.00 ,26,$139.99,Catania
789,Vans,Sk8-Hi,Skate,Men,US 8.5,Black/White,Suede/Canvas,$70.00 ,85,$199.99,Bari
790,New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Black/Pink,Mesh,$130.00 ,81,$249.99,Genoa
791,Asics,Gel-Quantum 90,Running,Men,US 11,Grey,Mesh,$80.00 ,49,$289.99,Palermo
792,Fila,Mindblower,Fashion,Women,US 7,White,Synthetic,$75.00 ,91,$259.99,Genoa
793,Skechers,GOwalk 5,Walking,Men,US 9,Black,Mesh,$65.00 ,93,$249.99,Catania
794,Nike,Zoom Pegasus 38,Running,Women,US 8.5,Blue,Mesh,$120.00 ,69,$259.99,Genoa
795,Adidas,Yeezy Boost 350 V2,Casual,Men,US 11,Cream White,Primeknit,$220.00 ,47,$259.99,Naples
796,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 ,17,$269.99,Turin
797,Converse,Chuck 70,Casual,Men,US 9,Red,Canvas,$85.00 ,85,$249.99,Turin
798,Puma,Suede Classic,Fashion,Women,US 6,Black,Suede,$65.00 ,62,$159.99,Bari
799,Vans,Era,Skate,Men,US 8,Grey,Canvas,$50.00 ,91,$219.99,Turin
800,New Balance,Fresh Foam Beacon v3,Running,Women,US 9,Grey,Mesh,$120.00 ,76,$289.99,Bari
801,Asics,Gel-Kayano 27,Running,Men,US 10,Black,Mesh,$160.00 ,81,$199.99,Naples
802,Fila,Disruptor III,Fashion,Women,US 8.5,White,Synthetic,$75.00 ,5,$239.99,Bologna
803,Skechers,Max Cushioning,Running,Men,US 9.5,Blue,Mesh,$90.00 ,87,$269.99,Naples
